标题,简介,属性
北京抖音信息服务有限公司,北京抖音信息服务有限公司，成立于2012年3月9日，2023年收入8635亿元。地址位于北京市海淀区北三环西路甲23号院1号楼2层222。公司以建设“全球创作与交流平台”为愿景。字节跳动的全球化布局始于2015年，“技术出海”是字节跳动全球化发展的核心战略，其旗下产品有今日头条、西瓜视频、抖音、头条百科、皮皮虾、懂车帝、悟空问答等。字节跳动人工智能实验室成立于2016年，旨在针对人工智能相关领域的长期性和开放性问题进行探索，帮助公司实现对未来发展的构想。其独立研发的“今日头条”客户端，通过海量信息采集、深度数据挖掘和用户行为分析，为用户智能推荐个性化信息，从而开创了一种全新的新闻阅读模式。2021年5月20日，张一鸣宣布卸任字节跳动CEO，联合创始人梁汝波将接任。2021年11月2日，梁汝波发布全员邮件宣布组织调整，并已正式接任字节跳动CEO，全面负责该公司的整体发展。2024年4月25日,"{'公司名称': '北京抖音信息服务有限公司', '外文名': 'ByteDance', '所属行业': '信息科技', '成立时间': '2012年3月9日', '总部地点': '北京市海淀区知春路甲48号2号楼10A室', '经营范围': '技术开发、技术推广、技术转让、技术咨询、技术服务等', '公司类型': '有限责任公司', '年营业额': '约 1400 亿元（2019年）', '创始人': '张一鸣'}"
网易,网易（NASDAQ: NTES），1997年由创始人兼CEO丁磊先生在广州创办，2000年在美国纳斯达克股票交易所挂牌上市，是中国领先的互联网技术公司。在开发互联网应用、服务及其它技术方面，始终保持中国业界领先地位。本着对中国互联网发展强烈的使命感，缔造美好生活的愿景，网易利用最先进的互联网技术，加强人与人之间信息的交流和共享。2024年5月23日，网易公布2024年第一季度营收269亿元，同比增长7.2%。,"{'公司名称': '网易', '外文名': 'NetEase', '所属行业': '网络信息服务业', '成立时间': '1997年6月', '总部地点': '杭州、广州[165-166]', '经营范围': '互联网', '公司类型': '互联网技术公司', '公司口号': '网聚人的力量', '年营业额': '964.96 亿元（2022年）', '股票代码': 'NTES（美股）', '创始人': '丁磊', '分公司': '北京、上海', '网易广告词': '网聚人的力量', '公司理念': '以匠心、致创新'}"
京东,京东（股票代码：JD），中国自营式电商企业，创始人刘强东担任京东集团董事局主席兼首席执行官。2023年收入10847亿元。旗下设有京东商城、京东金融、拍拍网、京东智能、O2O及海外事业部等。2013年正式获得虚拟运营商牌照。2014年5月在美国纳斯达克证券交易所正式挂牌上市。2015年7月，京东入选纳斯达克100指数和纳斯达克100平均加权指数。2016年6月与沃尔玛达成深度战略合作，1号店并入京东。2017年1月4日，中国银联宣布京东金融旗下支付公司正式成为银联收单成员机构。2017年4月25日，京东集团宣布正式组建京东物流子集团。2018年7月24日，京东增资安联财险中国的方案获得了银保监会的批准。9月4日，京东集团与如意控股集团签署战略合作协议。2019年8月22日，进入2019中国民营企业500强前十名；2019中国民营企业服务业100强发布，京东集团排名第4。2020年4月，京东,"{'公司名称': '北京京东世纪贸易有限公司', '外文名': 'JD', '成立时间': '1998年6月18日', '总部地点': '北京亦庄经济技术开发区科创十一街18号院', '经营范围': '网络零售服务', '公司类型': 'B2C', '公司口号': '多·快·好·省', '年营业额': '10462.36 亿元（2022年）', '员工数': '17.9 万人（截止到2019年3月底）', '吉祥物': '狗（名为joy）', '所获荣誉': '2023《财富》世界500强：位列52位', '标语口号': '网购上京东，省钱又放心', '创始人': '刘强东', '董事局主席': '刘强东', '集团总裁': '徐雷', '公司使命': '技术为本，让生活更美好'}"
拼多多,拼多多，是国内移动互联网的主流电子商务应用产品平台。2021年全年，拼多多年成交额（GMV）为24410亿元，专注于C2M拼团购物的第三方社交电商平台，成立于2015年9月，用户通过发起和朋友、家人、邻居等的拼团，可以以更低的价格，拼团购买优质商品。拼多多旨在凝聚更多人的力量，用更低的价格买到更好的东西，体会更多的实惠和乐趣。通过沟通分享形成的社交理念，形成了拼多多独特的新社交电商思维。2019年12月，拼多多入选2019中国品牌强国盛典榜样100品牌。2021年3月，黄峥辞任拼多多董事长，由联合创始人陈磊接任。截至2020年底，拼多多年活跃买家数达7.884亿，成为中国用户规模最大的电商平台。2022年9月1日，拼多多上线跨境电商平台，暂定名为“Temu”。,"{'软件名称': '拼多多', '软件平台': 'AndroidiOS', '上线时间': '2015年4月', '最近更新时间': '2024年2月22日', '软件语言': '中文', '开发商': '上海寻梦信息技术有限公司', '软件版本': '6.98.0', '软件大小': '26.06 MB', '年营业额': '1305.58 亿元（2022年）', '创始人': '黄峥', '软件分类': '购物休闲', '别名': 'PDD'}"
美团,"美团是一家科技零售公司。美团以“零售+科技”的战略践行“帮大家吃得更好，生活更好”的公司使命。自2010年3月成立以来，美团持续推动服务零售和商品零售在需求侧和供给侧的数字化升级，和广大合作伙伴一起努力为消费者提供品质服务。2018年9月20日，美团在港交所挂牌上市。美团始终以客户为中心，不断加大在新技术上的研发投入。美团会和大家一起努力，更好承担社会责任，更多创造社会价值。2023年5月, 美团正式在中国香港推出外卖平台KeeTa。2024年5月，美团的会员体系将全面升级，以往只覆盖外卖业务的“神会员”，将开始逐步扩展到到店业务。6月7日，苏宁易购与美团宣布深化合作，正式上线“空调最快2小时即送即装”服务，当地消费者在美团App搜索“空调2小时达”，就近选择苏宁易购门店，即可享空调“即送即装”，从下单购买空调到上门完成安装，全程最快两小时。7月2日，美团团购上线“秒提”服务。7月4日，美","{'公司名称': '美团', '外文名': 'Beijing Science and Technology Co, three fast online', '所属行业': '互联网', '成立时间': '2011年5月6日', '法定代表人': '穆荣均', '总部地点': '北京市海淀区海淀苏州街18号院2楼507', '经营范围': '网络购物', '公司类型': '有限责任公司(自然人投资或控股)', '公司口号': '帮大家吃得更好，生活更好', '年营业额': '326.99 亿美元（2022年）', '创办人': '王兴', '市场份额': '55%（王兴接受采访时透露）', '官网': 'http://www.meituan.com/', '性质': '团购网站', '注册地址': '北京市海淀区北四环西路9号'}"
滴滴出行,"滴滴出行是涵盖出租车、专车、滴滴快车、顺风车、代驾及大巴、货运等多项业务在内的一站式出行平台，2023年总收入1924亿元，同比增长36.6%。2015年09月09日由“滴滴打车”更名而来。2021年6月11日，滴滴出行正式向美国证券交易委员会递交了IPO招股书，截至2021年3月31日的三个月，实现营收为422亿元。6月30日，滴滴正式在纽交所挂牌上市，股票代码为 ""DIDI""。2021年7月2日，网络安全审查办公室公告称，对“滴滴出行”实施网络安全审查，审查期间“滴滴出行”停止新用户注册。7月4日，国家互联网信息办公室通知应用商店下架“滴滴出行”App。7月16日，国家互联网信息办公室等七部门进驻滴滴出行科技有限公司开展网络安全审查。2022年7月21日，国家互联网信息办公室依据《网络安全法》《数据安全法》《个人信息保护法》《行政处罚法》等法律法规，对滴滴全球股份有限公司处人民币80.","{'软件名称': '滴滴出行', '软件平台': 'AndroidiOS', '上线时间': '2014年8月19日', '软件语言': '简体中文/English', '开发商': '北京小桔科技有限公司', '软件版本': 'iOS(5.4.16)/Android(5.4.6)', '软件大小': 'iOS（502.6MB）Android（86.23MB）', '创始人及CEO': '程维'}"
蚂蚁科技集团股份有限公司,蚂蚁集团起步于2004年诞生的支付宝，源于一份为社会解决信任问题的初心，经过多年的发展，已成为世界领先的互联网开放平台。蚂蚁集团通过科技创新，助力合作伙伴，为消费者和小微企业提供普惠便捷的数字生活及数字金融服务；持续开放产品与技术，助力企业的数字化升级与协作；在全球广泛合作，服务当地商家和消费者实现“全球收”、“全球付”和“全球汇”。2013年3月支付宝的母公司宣布将以其为主体筹建小微金融服务集团，小微金融成为蚂蚁金服的前身。2020年7月蚂蚁金服正式更名为蚂蚁集团。2021年1月15日，央行副行长陈雨露表示，金融管理部门在与蚂蚁集团保持密切的监管沟通。4月12日，人民银行、银保监会、证监会、外汇局等金融管理部门再次联合约谈蚂蚁集团。2023年7月7日报道，金融管理部门对蚂蚁集团及旗下机构处以罚款（含没收违法所得）71.23亿元。2024年3月，华为自研的鸿蒙操作系统与蚂蚁数科、阿里云合作,"{'公司名称': '蚂蚁科技集团股份有限公司', '外文名': 'ANT GROUP', '成立时间': '2014年10月16日', '总部地点': '中国 浙江杭州', '经营范围': '互联网金融服务', '公司类型': '民营', '年营业额': '17956685 万元（2022年）', '简称': '蚂蚁集团', '董事长': '井贤栋', '注册资本': '3500000 万人民币'}"
哔哩哔哩,哔哩哔哩（NASDAQ:BILI；HKEX:9626），英文名称：bilibili。该网站于2009年6月26日创建，是中国年轻一代的标志性品牌及领先的视频社区，被网友们亲切地称为“B站”。哔哩哔哩由上海宽娱数码科技有限公司及其关联公司提供服务。2018年3月28日，哔哩哔哩在美国纳斯达克上市。2021年3月29日，哔哩哔哩正式在香港二次上市。2022年9月29日，港交所官网显示，哔哩哔哩在香港联交所由第二上市转为主要上市，于10月3日正式生效。B站早期是一个ACG（动画、漫画、游戏）内容创作与分享的视频网站。经过十年多的发展，围绕用户、创作者和内容，构建了一个源源不断产生优质内容的生态系统，B站已经涵盖7000多个兴趣圈层的多元文化社区，曾获得QuestMobile研究院评选的“Z世代偏爱APP”和“Z世代偏爱泛娱乐APP”两项榜单第一名并入选“BrandZ”报告2019最具价值中国品牌,"{'网站名称': '哔哩哔哩', '别名': 'bilibili、B站', '创始人': '徐逸（总裁）', '总部地点': '上海市杨浦区新江湾城街道政立路499号国正中心2号楼10楼', '上线时间': '2009年6月26日', '主办单位': '上海宽娱数码科技有限公司', '网站类型': '年轻人潮流文化娱乐社区', '网站口号': '哔哩哔哩 - ( ゜- ゜)つロ 干杯~', 'ICP备案号': '沪ICP备13002172号-3', '法定代表人': '郑彬炜', '董事长兼CEO': '陈睿', '副董兼COO': '李旎'}"
新浪,新浪（NASDAQ：SINA），即新浪公司，是一家服务于中国及全球华人社群的网络媒体公司，成立于1998年12月，由王志东创立，现任董事长曹国伟，服务大中华地区与海外华人，新浪拥有多家地区性网站。新浪通过门户网站新浪网、新浪移动和社交媒体微博，帮助广大用户通过电脑和移动设备获得专业媒体和用户自生成的多媒体内容（UGC）并与友人进行兴趣分享。2012年11月新浪注册用户已突破4亿。截至2016年12月31日的第四季度，营收为3.13亿美元，同比增长22%；净利润为1990万美元，同比增长37%；合摊薄后每股利润为0.27美元，同比增长29%；截至2016年12月31日的2016年全年，营收为10.309亿美元，同比增长17%；净利润为2.251亿美元合每股摊薄净收益3.01美元。2000年4月13日，新浪成功在纳斯达克上市。2017年8月3日，2017年“中国互联网企业100强”榜单发布，新,"{'公司名称': '新浪', '外文名': 'SINA', '所属行业': '网络媒体', '成立时间': '1998年12月', '总部地点': '北京', '经营范围': '网络', '公司类型': '股份制公司', '公司口号': '一切由你开始', '年营业额': '21.6亿美元（2019年）', '董事长兼CEO': '曹国伟', '创始人': '王志东', '官网': 'http://www.sina.com.cn'}"
搜狐,搜狐公司是中国的新媒体、通信及移动增值服务公司，互联网企业。创始人兼首席执行官张朝阳。搜狐是一个新闻中心、联动娱乐市场，跨界经营的娱乐中心、体育中心、时尚文化中心，2008北京奥运会互联网内容服务赞助商。2023年9月，北京市委网信办坚持问题导向，针对重点环节出实招、破难题，指导属地重点网站平台在热搜热榜设置固定辟谣位，搜狐网站平台作为首批试点平台。2024年5月20日，搜狐公司于公布了2024年第一季度的财务报告，数据显示，该公司本季度总收入达到了1.39亿美元，折合人民币约为10.05亿元。,"{'公司名称': '搜狐', '外文名': 'SOHU', '成立时间': '1998年2月', '总部地点': '中国北京', '经营范围': '互联网', '公司类型': '民营企业', '公司口号': '上搜狐, 知天下', '年营业额': '18.5 亿美元', '创办人': '张朝阳', '前身': '爱特信信息技术有限公司', '上市': '2000年7月12日'}"
优酷网,优酷网于2006年6月21日创立，12月21日正式上线，是中国领先的在线视频平台。优酷现为阿里巴巴集团数字媒体及娱乐板块的核心业务之一，也是阿里巴巴集团“Double H（健康与快乐）”战略的组成部分。优酷现支持PC、电视、移动、车载四大终端，兼具版权、合制、自制、用户生成内容(UGC)、专业生成内容(PGC)及直播等多种内容形态。2024年3月，优酷与番茄小说宣布达成合作，双方将深度挖掘“超级IP”，共同推动优质内容实现影视化和动漫化落地。4月22日，优酷宣布悬疑剧场升级为白夜剧场。5月27日，优酷推出面向老年群体的“银发剧场”。,"{'公司名称': '优酷', '外文名': 'Youku', '成立时间': '2006年06月21日', '法定代表人': '李巍', '现任领导': '樊路远', '软件类型': '视频平台', '品牌主张': '你的热爱，正在热播'}"
爱奇艺,爱奇艺是由龚宇于2010年4月22日创立的在线视频网站，2011年11月26日启动“爱奇艺”品牌并推出全新标志。爱奇艺成立伊始，坚持“悦享品质”的公司理念，以“用户体验”为使命，通过持续不断的技术投入、产品创新，为用户提供清晰、流畅、界面友好的观影体验。2013年5月7日百度收购PPS视频业务，并与爱奇艺进行合并，现为百度公司旗下平台。2018年3月29日，爱奇艺在美国纳斯达克挂牌上市，股票代码：IQ。在美国纽约时代广场，爱奇艺打出大幅广告庆祝上市。2018年8月6日，爱奇艺、新英体育建合资公司，统一运营爱奇艺体育；8月8日，爱奇艺获金运奖年度最佳创新运营奖。9月3日，爱奇艺对外发布声明称，自即日起关闭显示全站前台播放量数据。11月29日爱奇艺发布公告，计划发行总本金为5亿美元的可转换优先债券。2019年6月11日，爱奇艺入选“2019福布斯中国最具创新力企业榜”。2019年12月，爱奇艺,"{'网站名称': '爱奇艺', '总部地点': '中国北京市', '上线时间': '2018年03月29日', '网站口号': '悦享品质', '外文名': 'iQIYI', '所属行业': '网络视频', '成立时间': '2010年4月22日', '法定代表人': '耿晓华', '年营业额': '289.94 亿元（2020年）', '员工数': '8577 人（2019年）', '公司地址': '北京市海淀区海淀北一街2号11层1101', '创始人、CEO': '龚宇', '品牌关键词': '品质 青春 时尚', '企业文化': '简单想 简单做', '软件类型': '视频平台', '所属公司': '百度'}"
